event,match_id,date,year,round,team,opponent,score,opponent_score,result,rating_before,rating_after,rating_change
match,34,2025-04-06T15:20:00,2025,4,Port Adelaide,St Kilda,72.0,89.0,loss,1524.638973028032,1519.6218438945361,-5.017129133496032
match,34,2025-04-06T15:20:00,2025,4,St Kilda,Port Adelaide,89.0,72.0,win,1500.8306671492412,1505.8477962827371,5.017129133496032
match,35,2025-04-06T17:10:00,2025,4,Fremantle,Western Bulldogs,97.0,81.0,win,1510.7712059436105,1514.3661438892623,3.5949379456516537
match,35,2025-04-06T17:10:00,2025,4,Western Bulldogs,Fremantle,81.0,97.0,loss,1537.9671362169006,1534.3721982712489,-3.5949379456516537
match,36,2025-04-10T19:40:00,2025,5,Adelaide,Geelong,100.0,119.0,loss,1493.7097722049245,1489.4202862179736,-4.289485986950817
match,36,2025-04-10T19:40:00,2025,5,Geelong,Adelaide,119.0,100.0,win,1548.0303845971907,1552.3198705841417,4.289485986950817
match,37,2025-04-11T19:40:00,2025,5,Collingwood,Sydney,109.0,78.0,win,1533.090819579465,1537.62491547584,4.534095896375101
match,37,2025-04-11T19:40:00,2025,5,Sydney,Collingwood,78.0,109.0,loss,1563.5949650011983,1559.0608691048233,-4.534095896375101
match,38,2025-04-12T12:35:00,2025,5,North Melbourne,Gold Coast,89.0,141.0,loss,1378.8538614345123,1373.9917564452342,-4.862104989278216
match,38,2025-04-12T12:35:00,2025,5,Gold Coast,North Melbourne,141.0,89.0,win,1492.715258438641,1497.5773634279192,4.862104989278216
match,39,2025-04-12T13:20:00,2025,5,Carlton,West Coast,121.0,50.0,win,1503.9222650305503,1507.1410013651976,3.218736334647166
match,39,2025-04-12T13:20:00,2025,5,West Coast,Carlton,50.0,121.0,loss,1380.7610063679701,1377.542270033323,-3.218736334647166
match,40,2025-04-12T16:15:00,2025,5,Western Bulldogs,Brisbane Lions,97.0,118.0,loss,1534.3721982712489,1529.9005679819836,-4.47163028926528
match,40,2025-04-12T16:15:00,2025,5,Brisbane Lions,Western Bulldogs,118.0,97.0,win,1586.1833609034181,1590.6549911926834,4.47163028926528
match,41,2025-04-12T19:35:00,2025,5,Melbourne,Essendon,57.0,96.0,loss,1502.5877625129303,1495.9964079115177,-6.591354601412554
match,41,2025-04-12T19:35:00,2025,5,Essendon,Melbourne,96.0,57.0,win,1476.4956825719216,1483.0870371733342,6.591354601412554
match,42,2025-04-13T12:35:00,2025,5,Richmond,Fremantle,47.0,108.0,loss,1407.3792728862595,1402.1920613246323,-5.187211561627229
match,42,2025-04-13T12:35:00,2025,5,Fremantle,Richmond,108.0,47.0,win,1514.3661438892623,1519.5533554508895,5.187211561627229
match,43,2025-04-13T15:20:00,2025,5,St Kilda,Greater Western Sydney,82.0,110.0,loss,1505.8477962827371,1500.5120152629922,-5.335781019745001
match,43,2025-04-13T15:20:00,2025,5,Greater Western Sydney,St Kilda,110.0,82.0,win,1526.8737420568148,1532.2095230765597,5.335781019745001
match,44,2025-04-13T19:20:00,2025,5,Port Adelaide,Hawthorn,121.0,91.0,win,1519.6218438945361,1523.8521684617094,4.230324567173337
match,44,2025-04-13T19:20:00,2025,5,Hawthorn,Port Adelaide,91.0,121.0,loss,1531.5938646112377,1527.3635400440644,-4.230324567173337
match,45,2025-04-17T19:30:00,2025,6,Brisbane Lions,Collingwood,53.0,105.0,loss,1590.6549911926834,1583.1032241506048,-7.551767042078626
match,45,2025-04-17T19:30:00,2025,6,Collingwood,Brisbane Lions,105.0,53.0,win,1537.62491547584,1545.1766825179186,7.551767042078626
match,46,2025-04-18T15:20:00,2025,6,North Melbourne,Carlton,71.0,153.0,loss,1373.9917564452342,1368.8778107155931,-5.113945729640933
match,46,2025-04-18T15:20:00,2025,6,Carlton,North Melbourne,153.0,71.0,win,1507.1410013651976,1512.2549470948386,5.113945729640933
match,47,2025-04-18T18:10:00,2025,6,West Coast,Essendon,75.0,77.0,loss,1377.542270033323,1376.3343759338777,-1.2078940994452863
match,47,2025-04-18T18:10:00,2025,6,Essendon,West Coast,77.0,75.0,win,1483.0870371733342,1484.2949312727794,1.2078940994452863
match,48,2025-04-19T13:20:00,2025,6,Melbourne,Fremantle,107.0,97.0,win,1495.9964079115177,1498.950664379457,2.954256467939285
match,48,2025-04-19T13:20:00,2025,6,Fremantle,Melbourne,97.0,107.0,loss,1519.5533554508895,1516.5990989829502,-2.954256467939285
match,49,2025-04-19T16:15:00,2025,6,Adelaide,Greater Western Sydney,52.0,34.0,win,1489.4202862179736,1493.3562044245616,3.935918206587906
match,49,2025-04-19T16:15:00,2025,6,Greater Western Sydney,Adelaide,34.0,52.0,loss,1532.2095230765597,1528.2736048699717,-3.935918206587906
match,50,2025-04-19T19:35:00,2025,6,Richmond,Gold Coast,80.0,69.0,win,1402.1920613246323,1405.972519904108,3.7804585794757424
match,50,2025-04-19T19:35:00,2025,6,Gold Coast,Richmond,69.0,80.0,loss,1497.5773634279192,1493.7969048484435,-3.7804585794757424
match,51,2025-04-20T15:20:00,2025,6,Sydney,Port Adelaide,77.0,85.0,loss,1559.0608691048233,1555.2665618792125,-3.7943072256107953
match,51,2025-04-20T15:20:00,2025,6,Port Adelaide,Sydney,85.0,77.0,win,1523.8521684617094,1527.6464756873202,3.7943072256107953
match,52,2025-04-20T19:20:00,2025,6,Western Bulldogs,St Kilda,127.0,56.0,win,1529.9005679819836,1534.561025344322,4.660457362338255
match,52,2025-04-20T19:20:00,2025,6,St Kilda,Western Bulldogs,56.0,127.0,loss,1500.5120152629922,1495.851557900654,-4.660457362338255
match,53,2025-04-21T15:20:00,2025,6,Geelong,Hawthorn,86.0,79.0,win,1552.3198705841417,1554.4606652556154,2.140794671473733
match,53,2025-04-21T15:20:00,2025,6,Hawthorn,Geelong,79.0,86.0,loss,1527.3635400440644,1525.2227453725907,-2.140794671473733
match,54,2025-04-24T19:30:00,2025,7,Melbourne,Richmond,83.0,63.0,win,1498.950664379457,1501.468744842183,2.518080462725956
match,54,2025-04-24T19:30:00,2025,7,Richmond,Melbourne,63.0,83.0,loss,1405.972519904108,1403.454439441382,-2.518080462725956
match,55,2025-04-25T15:20:00,2025,7,Collingwood,Essendon,107.0,66.0,win,1545.1766825179186,1548.7569223505745,3.5802398326559612
match,55,2025-04-25T15:20:00,2025,7,Essendon,Collingwood,66.0,107.0,loss,1484.2949312727794,1480.7146914401235,-3.5802398326559612
match,56,2025-04-25T20:10:00,2025,7,Fremantle,Adelaide,85.0,67.0,win,1516.5990989829502,1519.7664104710782,3.167311488127938
match,56,2025-04-25T20:10:00,2025,7,Adelaide,Fremantle,67.0,85.0,loss,1493.3562044245616,1490.1888929364336,-3.167311488127938
match,57,2025-04-26T13:20:00,2025,7,St Kilda,Brisbane Lions,73.0,118.0,loss,1495.851557900654,1490.7608891611505,-5.090668739503312
match,57,2025-04-26T13:20:00,2025,7,Brisbane Lions,St Kilda,118.0,73.0,win,1583.1032241506048,1588.1938928901081,5.090668739503312
match,58,2025-04-26T16:15:00,2025,7,Port Adelaide,North Melbourne,97.0,88.0,win,1527.6464756873202,1529.0409976031467,1.394521915826519
match,58,2025-04-26T16:15:00,2025,7,North Melbourne,Port Adelaide,88.0,97.0,loss,1368.8778107155931,1367.4832887997666,-1.394521915826519
match,59,2025-04-26T19:35:00,2025,7,Greater Western Sydney,Western Bulldogs,81.0,113.0,loss,1528.2736048699717,1522.5046250156454,-5.768979854326271
match,59,2025-04-26T19:35:00,2025,7,Western Bulldogs,Greater Western Sydney,113.0,81.0,win,1534.561025344322,1540.3300051986482,5.768979854326271
match,60,2025-04-27T13:15:00,2025,7,Gold Coast,Sydney,117.0,79.0,win,1493.7969048484435,1499.082884474801,5.285979626357454
match,60,2025-04-27T13:15:00,2025,7,Sydney,Gold Coast,79.0,117.0,loss,1555.2665618792125,1549.9805822528551,-5.285979626357454
match,61,2025-04-27T15:20:00,2025,7,Carlton,Geelong,94.0,76.0,win,1512.2549470948386,1516.1839283148443,3.9289812200057592
match,61,2025-04-27T15:20:00,2025,7,Geelong,Carlton,76.0,94.0,loss,1554.4606652556154,1550.5316840356097,-3.9289812200057592
match,62,2025-04-27T16:45:00,2025,7,Hawthorn,West Coast,124.0,74.0,win,1525.2227453725907,1527.8497664779102,2.6270211053195203
match,62,2025-04-27T16:45:00,2025,7,West Coast,Hawthorn,74.0,124.0,loss,1376.3343759338777,1373.7073548285582,-2.6270211053195203
