event,match_id,date,year,round,team,opponent,score,opponent_score,result,rating_before,rating_after,rating_change,venue
match,10857.0,1990-05-04 08:40:00+00:00,1990,6,Richmond,West Coast,68.0,103.0,loss,1481.147401031349,1475.6367097399852,-5.510691291363915,M.C.G.
match,10857.0,1990-05-04 08:40:00+00:00,1990,6,West Coast,Richmond,103.0,68.0,win,1515.9132559425595,1521.4239472339234,5.510691291363915,M.C.G.
match,10858.0,1990-05-05 03:10:00+00:00,1990,6,Carlton,North Melbourne,133.0,103.0,win,1485.9161698945695,1490.1308852444072,4.214715349837765,Princes Park
match,10858.0,1990-05-05 03:10:00+00:00,1990,6,North Melbourne,Carlton,103.0,133.0,loss,1496.7605305395834,1492.5458151897458,-4.214715349837765,Princes Park
match,10859.0,1990-05-05 03:10:00+00:00,1990,6,Collingwood,Essendon,75.0,101.0,loss,1509.8953385195605,1504.4052180080264,-5.490120511534195,M.C.G.
match,10859.0,1990-05-05 03:10:00+00:00,1990,6,Essendon,Collingwood,101.0,75.0,win,1509.855160069993,1515.345280581527,5.490120511534195,M.C.G.
match,10860.0,1990-05-05 03:10:00+00:00,1990,6,Geelong,Brisbane Lions,151.0,80.0,win,1502.724938510063,1507.5624046718312,4.8374661617680275,Kardinia Park
match,10860.0,1990-05-05 03:10:00+00:00,1990,6,Brisbane Lions,Geelong,80.0,151.0,loss,1483.8016285700642,1478.964162408296,-4.8374661617680275,Kardinia Park
match,10861.0,1990-05-05 03:10:00+00:00,1990,6,St Kilda,Hawthorn,104.0,101.0,win,1511.8093503602822,1513.318604011874,1.5092536515917474,Moorabbin Oval
match,10861.0,1990-05-05 03:10:00+00:00,1990,6,Hawthorn,St Kilda,101.0,104.0,loss,1516.0317201901676,1514.5224665385758,-1.5092536515917474,Moorabbin Oval
match,10862.0,1990-05-05 03:10:00+00:00,1990,6,Western Bulldogs,Fitzroy,82.0,50.0,win,1495.3439401814217,1499.320871103677,3.976930922255411,Waverley Park
match,10862.0,1990-05-05 03:10:00+00:00,1990,6,Fitzroy,Western Bulldogs,50.0,82.0,loss,1483.131345829663,1479.1544149074075,-3.976930922255411,Waverley Park
match,10863.0,1990-05-06 03:10:00+00:00,1990,6,Sydney,Melbourne,98.0,93.0,win,1481.1219451016066,1483.4081221902093,2.286177088602711,S.C.G.
match,10863.0,1990-05-06 03:10:00+00:00,1990,6,Melbourne,Sydney,93.0,98.0,loss,1526.5472752591168,1524.261098170514,-2.286177088602711,S.C.G.
match,10864.0,1990-05-11 08:40:00+00:00,1990,7,Melbourne,West Coast,116.0,61.0,win,1524.261098170514,1529.050045454575,4.788947284060847,M.C.G.
match,10864.0,1990-05-11 08:40:00+00:00,1990,7,West Coast,Melbourne,61.0,116.0,loss,1521.4239472339234,1516.6349999498625,-4.788947284060847,M.C.G.
match,10865.0,1990-05-12 03:10:00+00:00,1990,7,Collingwood,Hawthorn,92.0,94.0,loss,1504.4052180080264,1502.818231487649,-1.5869865203773803,Waverley Park
match,10865.0,1990-05-12 03:10:00+00:00,1990,7,Hawthorn,Collingwood,94.0,92.0,win,1514.5224665385758,1516.1094530589532,1.5869865203773803,Waverley Park
match,10866.0,1990-05-12 03:10:00+00:00,1990,7,Essendon,Carlton,91.0,111.0,loss,1515.345280581527,1510.0158479308686,-5.329432650658346,Windy Hill
match,10866.0,1990-05-12 03:10:00+00:00,1990,7,Carlton,Essendon,111.0,91.0,win,1490.1308852444072,1495.4603178950656,5.329432650658346,Windy Hill
match,10867.0,1990-05-12 03:10:00+00:00,1990,7,North Melbourne,Western Bulldogs,85.0,87.0,loss,1492.5458151897458,1490.9457577118337,-1.6000574779119914,M.C.G.
match,10867.0,1990-05-12 03:10:00+00:00,1990,7,Western Bulldogs,North Melbourne,87.0,85.0,win,1499.320871103677,1500.9209285815891,1.6000574779119914,M.C.G.
match,10868.0,1990-05-12 03:10:00+00:00,1990,7,Fitzroy,St Kilda,121.0,103.0,win,1479.1544149074075,1482.9879350613483,3.8335201539408055,Princes Park
match,10868.0,1990-05-12 03:10:00+00:00,1990,7,St Kilda,Fitzroy,103.0,121.0,loss,1513.318604011874,1509.4850838579332,-3.8335201539408055,Princes Park
match,10869.0,1990-05-13 03:10:00+00:00,1990,7,Brisbane Lions,Sydney,96.0,88.0,win,1478.964162408296,1481.4833132389506,2.519150830654545,Carrara
match,10869.0,1990-05-13 03:10:00+00:00,1990,7,Sydney,Brisbane Lions,88.0,96.0,loss,1483.4081221902093,1480.8889713595547,-2.519150830654545,Carrara
match,10870.0,1990-05-13 03:10:00+00:00,1990,7,Geelong,Richmond,82.0,96.0,loss,1507.5624046718312,1502.8110862432482,-4.751318428583091,Kardinia Park
match,10870.0,1990-05-13 03:10:00+00:00,1990,7,Richmond,Geelong,96.0,82.0,win,1475.6367097399852,1480.3880281685683,4.751318428583091,Kardinia Park
