event,match_id,date,year,round,team,opponent,score,opponent_score,result,rating_before,rating_after,rating_change,venue
match,16496.0,2020-06-25 09:40:00+00:00,2020,4,Sydney,Western Bulldogs,39.0,67.0,loss,1503.1271159074972,1497.3700009172185,-5.757114990278706,S.C.G.
match,16496.0,2020-06-25 09:40:00+00:00,2020,4,Western Bulldogs,Sydney,67.0,39.0,win,1492.8740940929038,1498.6312090831825,5.757114990278706,S.C.G.
match,16497.0,2020-06-26 09:50:00+00:00,2020,4,Greater Western Sydney,Collingwood,66.0,64.0,win,1495.1630821542394,1496.3772885570634,1.2142064028239135,Sydney Showground
match,16497.0,2020-06-26 09:50:00+00:00,2020,4,Collingwood,Greater Western Sydney,64.0,66.0,loss,1511.2236462574988,1510.0094398546748,-1.2142064028239135,Sydney Showground
match,16498.0,2020-06-27 03:45:00+00:00,2020,4,Port Adelaide,West Coast,89.0,41.0,win,1517.0814602974156,1521.4020344467008,4.3205741492851395,Carrara
match,16498.0,2020-06-27 03:45:00+00:00,2020,4,West Coast,Port Adelaide,41.0,89.0,loss,1495.1534047342177,1490.8328305849325,-4.3205741492851395,Carrara
match,16499.0,2020-06-27 06:35:00+00:00,2020,4,St Kilda,Richmond,93.0,67.0,win,1498.6673873080963,1502.5431662716999,3.8757789636034903,Docklands
match,16499.0,2020-06-27 06:35:00+00:00,2020,4,Richmond,St Kilda,67.0,93.0,loss,1497.8611621743512,1493.9853832107476,-3.8757789636034903,Docklands
match,16500.0,2020-06-27 09:40:00+00:00,2020,4,Essendon,Carlton,51.0,52.0,loss,1505.2307077651137,1504.225345342218,-1.005362422895798,M.C.G.
match,16500.0,2020-06-27 09:40:00+00:00,2020,4,Carlton,Essendon,52.0,51.0,win,1496.8757133010522,1497.881075723948,1.005362422895798,M.C.G.
match,16501.0,2020-06-27 09:40:00+00:00,2020,4,Gold Coast,Fremantle,64.0,51.0,win,1502.8672244448767,1505.7717581809577,2.904533736081074,Carrara
