event,match_id,date,year,round,team,opponent,score,opponent_score,result,rating_before,rating_after,rating_change,margin_error
match,39,2025-04-12T13:20:00,2025,5,Carlton,West Coast,121.0,50.0,win,1504.7920132022193,1513.0219690037925,8.229955801573235,-28.80484530550632
match,39,2025-04-12T13:20:00,2025,5,West Coast,Carlton,50.0,121.0,loss,1366.0113944242446,1357.7814386226714,-8.229955801573235,28.80484530550632
match,40,2025-04-12T16:15:00,2025,5,Western Bulldogs,Brisbane Lions,97.0,118.0,loss,1533.593758678406,1527.3819674382012,-6.211791240204759,21.741269340716656
match,40,2025-04-12T16:15:00,2025,5,Brisbane Lions,Western Bulldogs,118.0,97.0,win,1560.6286813155393,1566.840472555744,6.211791240204759,-21.741269340716656
match,41,2025-04-12T19:35:00,2025,5,Melbourne,Essendon,57.0,96.0,loss,1453.7002543570622,1440.791319826163,-12.908934530899257,45.1812708581474
match,41,2025-04-12T19:35:00,2025,5,Essendon,Melbourne,96.0,57.0,win,1458.9751709244726,1471.8841054553718,12.908934530899257,-45.1812708581474
match,42,2025-04-13T12:35:00,2025,5,Richmond,Fremantle,47.0,108.0,loss,1373.6561201270686,1363.7663753088095,-9.889744818259098,34.61410686390684
match,42,2025-04-13T12:35:00,2025,5,Fremantle,Richmond,108.0,47.0,win,1509.1996926714412,1519.0894374897002,9.889744818259098,-34.61410686390684
match,43,2025-04-13T15:20:00,2025,5,St Kilda,Greater Western Sydney,82.0,110.0,loss,1515.866828067815,1508.4264351652478,-7.440392902567347,26.041375158985716
match,43,2025-04-13T15:20:00,2025,5,Greater Western Sydney,St Kilda,110.0,82.0,win,1553.7013274318722,1561.1417203344395,7.440392902567347,-26.041375158985716
match,44,2025-04-13T19:20:00,2025,5,Port Adelaide,Hawthorn,121.0,91.0,win,1496.2202162589924,1508.2807393635032,12.060523104510903,-42.21183086578816
match,44,2025-04-13T19:20:00,2025,5,Hawthorn,Port Adelaide,91.0,121.0,loss,1575.067539722145,1563.0070166176342,-12.060523104510903,42.21183086578816
match,45,2025-04-17T19:30:00,2025,6,Brisbane Lions,Collingwood,53.0,105.0,loss,1566.840472555744,1548.0911732052464,-18.749299350497772,65.6225477267422
match,45,2025-04-17T19:30:00,2025,6,Collingwood,Brisbane Lions,105.0,53.0,win,1542.3502816487753,1561.099580999273,18.749299350497772,-65.6225477267422
match,46,2025-04-18T15:20:00,2025,6,North Melbourne,Carlton,71.0,153.0,loss,1401.7089169624983,1384.0884206797336,-17.620496282764698,61.67173698967645
match,46,2025-04-18T15:20:00,2025,6,Carlton,North Melbourne,153.0,71.0,win,1513.0219690037925,1530.6424652865571,17.620496282764698,-61.67173698967645
match,47,2025-04-18T18:10:00,2025,6,West Coast,Essendon,75.0,77.0,loss,1357.7814386226714,1363.2173433964358,5.435904773764313,-19.025666708175095
match,47,2025-04-18T18:10:00,2025,6,Essendon,West Coast,77.0,75.0,win,1471.8841054553718,1466.4482006816074,-5.435904773764313,19.025666708175095
match,48,2025-04-19T13:20:00,2025,6,Melbourne,Fremantle,107.0,97.0,win,1440.791319826163,1447.0983282307016,6.307008404538367,-22.074529415884285
match,48,2025-04-19T13:20:00,2025,6,Fremantle,Melbourne,97.0,107.0,loss,1519.0894374897002,1512.7824290851618,-6.307008404538367,22.074529415884285
match,49,2025-04-19T16:15:00,2025,6,Adelaide,Greater Western Sydney,52.0,34.0,win,1530.6369171863855,1535.8158316969607,5.178914510575282,-18.126200787013488
match,49,2025-04-19T16:15:00,2025,6,Greater Western Sydney,Adelaide,34.0,52.0,loss,1561.1417203344395,1555.962805823864,-5.178914510575282,18.126200787013488
match,50,2025-04-19T19:35:00,2025,6,Richmond,Gold Coast,80.0,69.0,win,1363.7663753088095,1375.7409401640723,11.974564855262802,-41.91097699341981
match,50,2025-04-19T19:35:00,2025,6,Gold Coast,Richmond,69.0,80.0,loss,1517.4102832824888,1505.435718427226,-11.974564855262802,41.91097699341981
match,51,2025-04-20T15:20:00,2025,6,Sydney,Port Adelaide,77.0,85.0,loss,1544.2353982699974,1537.2386369195335,-6.996761350463869,24.48866472662354
match,51,2025-04-20T15:20:00,2025,6,Port Adelaide,Sydney,85.0,77.0,win,1508.2807393635032,1515.2775007139671,6.996761350463869,-24.48866472662354
match,52,2025-04-20T19:20:00,2025,6,Western Bulldogs,St Kilda,127.0,56.0,win,1527.3819674382012,1544.170857990133,16.7888905519319,-58.76111693176165
match,52,2025-04-20T19:20:00,2025,6,St Kilda,Western Bulldogs,56.0,127.0,loss,1508.4264351652478,1491.6375446133159,-16.7888905519319,58.76111693176165
match,53,2025-04-21T15:20:00,2025,6,Geelong,Hawthorn,86.0,79.0,win,1562.245206102413,1562.1567639963573,-0.08844210605562759,0.30954737119469655
match,53,2025-04-21T15:20:00,2025,6,Hawthorn,Geelong,79.0,86.0,loss,1563.0070166176342,1563.09545872369,0.08844210605562759,-0.30954737119469655
match,54,2025-04-24T19:30:00,2025,7,Melbourne,Richmond,83.0,63.0,win,1447.0983282307016,1445.5728005116566,-1.5255277190449468,5.339347016657314
match,54,2025-04-24T19:30:00,2025,7,Richmond,Melbourne,63.0,83.0,loss,1375.7409401640723,1377.2664678831172,1.5255277190449468,-5.339347016657314
match,55,2025-04-25T15:20:00,2025,7,Collingwood,Essendon,107.0,66.0,win,1561.099580999273,1563.9101966908684,2.810615691595314,-9.8371549205836
match,55,2025-04-25T15:20:00,2025,7,Essendon,Collingwood,66.0,107.0,loss,1466.4482006816074,1463.637584990012,-2.810615691595314,9.8371549205836
match,56,2025-04-25T20:10:00,2025,7,Fremantle,Adelaide,85.0,67.0,win,1512.7824290851618,1517.4276721288618,4.645243043699923,-16.25835065294973
match,56,2025-04-25T20:10:00,2025,7,Adelaide,Fremantle,67.0,85.0,loss,1535.8158316969607,1531.1705886532607,-4.645243043699923,16.25835065294973
match,57,2025-04-26T13:20:00,2025,7,St Kilda,Brisbane Lions,73.0,118.0,loss,1491.6375446133159,1480.6699466555965,-10.96759795771925,38.38659285201737
match,57,2025-04-26T13:20:00,2025,7,Brisbane Lions,St Kilda,118.0,73.0,win,1548.0911732052464,1559.0587711629655,10.96759795771925,-38.38659285201737
match,58,2025-04-26T16:15:00,2025,7,Port Adelaide,North Melbourne,97.0,88.0,win,1515.2775007139671,1506.3354235686647,-8.942077145302392,31.29727000855837
match,58,2025-04-26T16:15:00,2025,7,North Melbourne,Port Adelaide,88.0,97.0,loss,1384.0884206797336,1393.030497825036,8.942077145302392,-31.29727000855837
match,59,2025-04-26T19:35:00,2025,7,Greater Western Sydney,Western Bulldogs,81.0,113.0,loss,1555.962805823864,1543.8348095500262,-12.127996273837928,42.44798695843275
match,59,2025-04-26T19:35:00,2025,7,Western Bulldogs,Greater Western Sydney,113.0,81.0,win,1544.170857990133,1556.298854263971,12.127996273837928,-42.44798695843275
match,60,2025-04-27T13:15:00,2025,7,Gold Coast,Sydney,117.0,79.0,win,1505.435718427226,1516.4216411766765,10.985922749450538,-38.45072962307688
match,60,2025-04-27T13:15:00,2025,7,Sydney,Gold Coast,79.0,117.0,loss,1537.2386369195335,1526.252714170083,-10.985922749450538,38.45072962307688
match,61,2025-04-27T15:20:00,2025,7,Carlton,Geelong,94.0,76.0,win,1530.6424652865571,1535.8934866229715,5.251021336414299,-18.378574677450047
match,61,2025-04-27T15:20:00,2025,7,Geelong,Carlton,76.0,94.0,loss,1562.1567639963573,1556.905742659943,-5.251021336414299,18.378574677450047
match,62,2025-04-27T16:45:00,2025,7,Hawthorn,West Coast,124.0,74.0,win,1563.09545872369,1560.961307628886,-2.1341510948038667,7.469528831813534
match,62,2025-04-27T16:45:00,2025,7,West Coast,Hawthorn,74.0,124.0,loss,1363.2173433964358,1365.3514944912397,2.1341510948038667,-7.469528831813534
match,63,2025-05-01T19:30:00,2025,8,Essendon,North Melbourne,65.0,62.0,win,1463.637584990012,1457.308507335371,-6.329077654641147,22.151771791244016
match,63,2025-05-01T19:30:00,2025,8,North Melbourne,Essendon,62.0,65.0,loss,1393.030497825036,1399.3595754796772,6.329077654641147,-22.151771791244016
match,64,2025-05-02T19:40:00,2025,8,St Kilda,Fremantle,94.0,33.0,win,1480.6699466555965,1498.5812127608297,17.911266105233235,-62.68943136831632
match,64,2025-05-02T19:40:00,2025,8,Fremantle,St Kilda,33.0,94.0,loss,1517.4276721288618,1499.5164060236286,-17.911266105233235,62.68943136831632
match,65,2025-05-03T13:20:00,2025,8,Western Bulldogs,Port Adelaide,131.0,41.0,win,1556.298854263971,1576.3014663571635,20.002612093192415,-70.00914232617345
match,65,2025-05-03T13:20:00,2025,8,Port Adelaide,Western Bulldogs,41.0,131.0,loss,1506.3354235686647,1486.3328114754722,-20.002612093192415,70.00914232617345
match,66,2025-05-03T16:15:00,2025,8,Adelaide,Carlton,110.0,50.0,win,1531.1705886532607,1546.50793850824,15.337349854979347,-53.680724492427714
match,66,2025-05-03T16:15:00,2025,8,Carlton,Adelaide,50.0,110.0,loss,1535.8934866229715,1520.5561367679923,-15.337349854979347,53.680724492427714
match,67,2025-05-03T19:35:00,2025,8,Collingwood,Geelong,87.0,90.0,loss,1563.9101966908684,1560.4098785458023,-3.500318145066103,12.251113507731361
match,67,2025-05-03T19:35:00,2025,8,Geelong,Collingwood,90.0,87.0,win,1556.905742659943,1560.406060805009,3.500318145066103,-12.251113507731361
match,68,2025-05-03T19:35:00,2025,8,West Coast,Melbourne,76.0,108.0,loss,1365.3514944912397,1359.795873492698,-5.555620998541648,19.444673494895767
match,68,2025-05-03T19:35:00,2025,8,Melbourne,West Coast,108.0,76.0,win,1445.5728005116566,1451.1284215101982,5.555620998541648,-19.444673494895767
match,69,2025-05-04T13:10:00,2025,8,Sydney,Greater Western Sydney,87.0,73.0,win,1526.252714170083,1529.3657209829362,3.1130068128530866,-10.895523844985803
match,69,2025-05-04T13:10:00,2025,8,Greater Western Sydney,Sydney,73.0,87.0,loss,1543.8348095500262,1540.7218027371732,-3.1130068128530866,10.895523844985803
match,70,2025-05-04T15:20:00,2025,8,Hawthorn,Richmond,109.0,44.0,win,1560.961307628886,1564.2688190756169,3.3075114467307976,-11.576290063557792
match,70,2025-05-04T15:20:00,2025,8,Richmond,Hawthorn,44.0,109.0,loss,1377.2664678831172,1373.9589564363864,-3.3075114467307976,11.576290063557792
match,71,2025-05-04T19:20:00,2025,8,Brisbane Lions,Gold Coast,66.0,49.0,win,1559.0587711629655,1558.7275475925162,-0.3312235704492131,1.1592824965722457
match,71,2025-05-04T19:20:00,2025,8,Gold Coast,Brisbane Lions,49.0,66.0,loss,1516.4216411766765,1516.7528647471258,0.3312235704492131,-1.1592824965722457
match,72,2025-05-08T20:10:00,2025,9,Fremantle,Collingwood,83.0,97.0,loss,1499.5164060236286,1497.7230826323553,-1.7933233912733126,6.276631869456594
match,72,2025-05-08T20:10:00,2025,9,Collingwood,Fremantle,97.0,83.0,win,1560.4098785458023,1562.2032019370756,1.7933233912733126,-6.276631869456594
match,73,2025-05-09T19:40:00,2025,9,St Kilda,Carlton,62.0,77.0,loss,1498.5812127608297,1493.7222787613414,-4.858933999488386,17.00626899820935
match,73,2025-05-09T19:40:00,2025,9,Carlton,St Kilda,77.0,62.0,win,1520.5561367679923,1525.4150707674808,4.858933999488386,-17.00626899820935
match,74,2025-05-10T13:20:00,2025,9,Melbourne,Hawthorn,56.0,91.0,loss,1451.1284215101982,1447.0670213362996,-4.061400173898668,14.214900608645337
match,74,2025-05-10T13:20:00,2025,9,Hawthorn,Melbourne,91.0,56.0,win,1564.2688190756169,1568.3302192495155,4.061400173898668,-14.214900608645337
match,75,2025-05-10T16:15:00,2025,9,Essendon,Sydney,71.0,63.0,win,1457.308507335371,1462.598308310197,5.2898009748260915,-18.51430341189132
match,75,2025-05-10T16:15:00,2025,9,Sydney,Essendon,63.0,71.0,loss,1529.3657209829362,1524.0759200081102,-5.2898009748260915,18.51430341189132
match,76,2025-05-10T19:35:00,2025,9,Gold Coast,Western Bulldogs,106.0,96.0,win,1516.7528647471258,1521.7206220049857,4.96775725785983,-17.387150402509405
match,76,2025-05-10T19:35:00,2025,9,Western Bulldogs,Gold Coast,96.0,106.0,loss,1576.3014663571635,1571.3337090993036,-4.96775725785983,17.387150402509405
match,77,2025-05-10T20:10:00,2025,9,Port Adelaide,Adelaide,84.0,89.0,loss,1486.3328114754722,1487.059606263527,0.7267947880548361,-2.543781758191926
match,77,2025-05-10T20:10:00,2025,9,Adelaide,Port Adelaide,89.0,84.0,win,1546.50793850824,1545.7811437201851,-0.7267947880548361,2.543781758191926
match,78,2025-05-11T13:10:00,2025,9,Richmond,West Coast,81.0,79.0,win,1373.9589564363864,1371.3758790832658,-2.5830773531205944,9.04077073592208
match,78,2025-05-11T13:10:00,2025,9,West Coast,Richmond,79.0,81.0,loss,1359.795873492698,1362.3789508458187,2.5830773531205944,-9.04077073592208
match,79,2025-05-11T15:20:00,2025,9,Geelong,Greater Western Sydney,101.0,105.0,loss,1560.406060805009,1555.714328085878,-4.691732719131129,16.42106451695895
match,79,2025-05-11T15:20:00,2025,9,Greater Western Sydney,Geelong,105.0,101.0,win,1540.7218027371732,1545.4135354563043,4.691732719131129,-16.42106451695895
match,80,2025-05-11T16:40:00,2025,9,North Melbourne,Brisbane Lions,71.0,71.0,draw,1399.3595754796772,1408.6001449163086,9.240569436631356,-32.34199302820974
match,80,2025-05-11T16:40:00,2025,9,Brisbane Lions,North Melbourne,71.0,71.0,draw,1558.7275475925162,1549.4869781558848,-9.240569436631356,32.34199302820974
match,81,2025-05-15T19:30:00,2025,10,Gold Coast,Hawthorn,104.0,96.0,win,1521.7206220049857,1525.1927360938807,3.4721140888949873,-12.152399311132456
match,81,2025-05-15T19:30:00,2025,10,Hawthorn,Gold Coast,96.0,104.0,loss,1568.3302192495155,1564.8581051606204,-3.4721140888949873,12.152399311132456
match,82,2025-05-16T19:40:00,2025,10,Sydney,Carlton,78.0,62.0,win,1524.0759200081102,1526.600145062351,2.524225054240755,-8.834787689842642
match,82,2025-05-16T19:40:00,2025,10,Carlton,Sydney,62.0,78.0,loss,1525.4150707674808,1522.89084571324,-2.524225054240755,8.834787689842642
match,83,2025-05-17T13:20:00,2025,10,Collingwood,Adelaide,78.0,68.0,win,1562.2032019370756,1561.744483493012,-0.4587184440636065,1.6055145542226228
match,83,2025-05-17T13:20:00,2025,10,Adelaide,Collingwood,68.0,78.0,loss,1545.7811437201851,1546.2398621642487,0.4587184440636065,-1.6055145542226228
match,84,2025-05-17T16:15:00,2025,10,Greater Western Sydney,Fremantle,61.0,95.0,loss,1545.4135354563043,1530.149931683165,-15.263603773139218,53.42261320598726
match,84,2025-05-17T16:15:00,2025,10,Fremantle,Greater Western Sydney,95.0,61.0,win,1497.7230826323553,1512.9866864054945,15.263603773139218,-53.42261320598726
match,85,2025-05-17T16:15:00,2025,10,Port Adelaide,Geelong,39.0,115.0,loss,1487.059606263527,1468.1063721079806,-18.953234155546365,66.33631954441228
match,85,2025-05-17T16:15:00,2025,10,Geelong,Port Adelaide,115.0,39.0,win,1555.714328085878,1574.6675622414243,18.953234155546365,-66.33631954441228
