event,date,year,round,team,opponent,standard_rating_before,standard_rating_after,standard_rating_change,margin_rating_before,margin_rating_after,margin_rating_change,margin_error,match_id,score,opponent_score,result
match,2025-05-10T19:35:00,2025,9,Western Bulldogs,Gold Coast,1589.6191976297316,1578.5409706002617,-11.07822702946979,1616.1793789986282,1610.4152177631424,-5.764161235485775,10.843617951989623,76.0,96.0,106.0,loss
match,2025-05-10T20:10:00,2025,9,Port Adelaide,Adelaide,1519.0735460477076,1510.0649843528317,-9.008561694875869,1464.9920223954828,1466.5081286145057,1.5161062190228813,-2.852119491819548,77.0,84.0,89.0,loss
match,2025-05-10T20:10:00,2025,9,Adelaide,Port Adelaide,1527.5362077889934,1536.5447694838692,9.008561694875869,1577.3409435848953,1575.8248373658723,-1.5161062190228813,2.852119491819548,77.0,89.0,84.0,win
match,2025-05-11T13:10:00,2025,9,Richmond,West Coast,1324.1605021428404,1327.0272489327301,2.8667467898896355,1331.2398970023198,1322.5544589672281,-8.685438035091734,16.339163314587093,78.0,81.0,79.0,win
match,2025-05-11T13:10:00,2025,9,West Coast,Richmond,1278.0973038589264,1275.2305570690366,-2.8667467898896355,1298.995520113758,1307.6809581488496,8.685438035091734,-16.339163314587093,78.0,79.0,81.0,loss
match,2025-05-11T15:20:00,2025,9,Geelong,Greater Western Sydney,1584.8816406014087,1575.932122158207,-8.949518443201667,1596.2780979359468,1583.8159848538307,-12.46211308211614,23.443895411015657,79.0,101.0,105.0,loss
match,2025-05-11T15:20:00,2025,9,Greater Western Sydney,Geelong,1534.3223175223666,1543.2718359655682,8.949518443201667,1557.934865237385,1570.3969783195012,12.46211308211614,-23.443895411015657,79.0,105.0,101.0,win
match,2025-05-11T16:40:00,2025,9,North Melbourne,Brisbane Lions,1292.6446871524763,1292.6446871524763,0.0,1369.1451334046537,1382.3907832673856,13.24564986273189,-24.917895383123145,80.0,71.0,71.0,draw
match,2025-05-11T16:40:00,2025,9,Brisbane Lions,North Melbourne,1656.3053847939673,1656.3053847939673,-0.0,1575.7084861139906,1562.4628362512588,-13.24564986273189,24.917895383123145,80.0,71.0,71.0,draw
match,2025-05-15T19:30:00,2025,10,Gold Coast,Hawthorn,1531.0612295865183,1541.089320539137,10.028090952618735,1548.2862081401652,1550.5600329535132,2.2738248133480794,-4.277549943243868,81.0,104.0,96.0,win
